ID,Coordinates
P34650_58475,POINT (-58.474998474121094 -34.650001525878906)
P34650_58450,POINT (-58.45000076293945 -34.650001525878906)
P34650_58425,POINT (-58.42499923706055 -34.650001525878906)
P34650_58400,POINT (-58.400001525878906 -34.650001525878906)
P34650_58375,POINT (-58.375 -34.650001525878906)
P34650_58350,POINT (-58.349998474121094 -34.650001525878906)
P34650_58325,POINT (-58.32500076293945 -34.650001525878906)
P34650_58300,POINT (-58.29999923706055 -34.650001525878906)
P34650_58275,POINT (-58.275001525878906 -34.650001525878906)
P34650_58250,POINT (-58.25 -34.650001525878906)
P34650_58225,POINT (-58.224998474121094 -34.650001525878906)
P34650_58200,POINT (-58.20000076293945 -34.650001525878906)
P34650_58175,POINT (-58.17499923706055 -34.650001525878906)
P34625_58500,POINT (-58.5 -34.625)
P34625_58475,POINT (-58.474998474121094 -34.625)
P34625_58450,POINT (-58.45000076293945 -34.625)
P34625_58425,POINT (-58.42499923706055 -34.625)
P34625_58400,POINT (-58.400001525878906 -34.625)
P34625_58375,POINT (-58.375 -34.625)
P34625_58350,POINT (-58.349998474121094 -34.625)
P34625_58325,POINT (-58.32500076293945 -34.625)
P34625_58300,POINT (-58.29999923706055 -34.625)
P34625_58275,POINT (-58.275001525878906 -34.625)
P34625_58250,POINT (-58.25 -34.625)
P34625_58225,POINT (-58.224998474121094 -34.625)
P34625_58200,POINT (-58.20000076293945 -34.625)
P34625_58175,POINT (-58.17499923706055 -34.625)
P34600_58500,POINT (-58.5 -34.599998474121094)
P34600_58475,POINT (-58.474998474121094 -34.599998474121094)
P34600_58450,POINT (-58.45000076293945 -34.599998474121094)
P34600_58425,POINT (-58.42499923706055 -34.599998474121094)
P34600_58400,POINT (-58.400001525878906 -34.599998474121094)
P34600_58375,POINT (-58.375 -34.599998474121094)
P34600_58350,POINT (-58.349998474121094 -34.599998474121094)
P34600_58325,POINT (-58.32500076293945 -34.599998474121094)
P34600_58300,POINT (-58.29999923706055 -34.599998474121094)
P34600_58275,POINT (-58.275001525878906 -34.599998474121094)
P34600_58250,POINT (-58.25 -34.599998474121094)
P34600_58225,POINT (-58.224998474121094 -34.599998474121094)
P34600_58200,POINT (-58.20000076293945 -34.599998474121094)
P34600_58175,POINT (-58.17499923706055 -34.599998474121094)
P34575_58500,POINT (-58.5 -34.57500076293945)
P34575_58475,POINT (-58.474998474121094 -34.57500076293945)
P34575_58450,POINT (-58.45000076293945 -34.57500076293945)
P34575_58425,POINT (-58.42499923706055 -34.57500076293945)
P34575_58400,POINT (-58.400001525878906 -34.57500076293945)
P34575_58375,POINT (-58.375 -34.57500076293945)
P34575_58350,POINT (-58.349998474121094 -34.57500076293945)
P34575_58325,POINT (-58.32500076293945 -34.57500076293945)
P34575_58300,POINT (-58.29999923706055 -34.57500076293945)
P34575_58275,POINT (-58.275001525878906 -34.57500076293945)
P34575_58250,POINT (-58.25 -34.57500076293945)
P34575_58225,POINT (-58.224998474121094 -34.57500076293945)
P34575_58200,POINT (-58.20000076293945 -34.57500076293945)
P34575_58175,POINT (-58.17499923706055 -34.57500076293945)
